0
,link,0.004453898215411356
,photo,0.004091908370007282
,time,0.003964147248099962
,love,0.0037831523253979244
,video,0.002842688511357928
,come,0.0027859057905102306
,th,0.002768161190245325
,music,0.0027362209097684946
,tickets,0.0024842475860068353
,watch,0.002345839703940572
,facebook,0.002320997263569704
,take,0.002292605903145855
,live,0.002257116702616044
,part,0.0022393721023511383
,please,0.0022216275020862327
,know,0.0022145296619802703
,thank,0.0021896872216094028
,best,0.002122257740602761
,life,0.0020406325793841957
,friends,0.001962556338218611
1
,link,0.004673579982097926
,love,0.0045624600540199725
,beauty,0.003843448754692039
,clozette,0.0037519382256866658
,time,0.0035231619031732323
,skin,0.003477406638670546
,enjoy,0.002954489330068412
,products,0.0025884472140469184
,thank,0.0024642543532539117
,instagram,0.0024315720214662783
,fashion,0.002405426156036172
,photo,0.0022485509634555317
,best,0.0022224050980254252
,th,0.0021766498335227384
,bio,0.0020982122372324185
,facebook,0.002039384040014678
,sgig,0.0020132381745845717
,know,0.0020067017082270448
,home,0.0019413370446517784
,hair,0.001908654712864145
2
,food,0.010529903183936052
,foodporn,0.0075801961343699535
,foodstagram,0.006289003614559888
,sgfood,0.006277872644561525
,delicious,0.0062556107045648
,instafood,0.00536513310469579
,foodgasm,0.005259388889711344
,sgig,0.005103555309734267
,foodpics,0.0049866801247514594
,eatoutsg,0.004758495239785026
,sgfoodie,0.004747364269786663
,sgfoodies,0.004469090019827597
,foodies,0.004446828079830872
,burpple,0.004090637039883267
,igfood,0.004046113159889817
,hungrygowhere,0.004001589279896366
,instasg,0.003984892824898822
,foodblogger,0.003912541519909466
,tripadvisor,0.0036008743599553117
,eatdreamlove,0.0036008743599553117
3
,sgig,0.008728261379727355
,fitness,0.008481235502668839
,trial,0.008138144006754236
,session,0.0080832493674079
,training,0.007946012769042058
,runwayspree,0.006820672662442157
,link,0.006573646785383643
,sgblogshop,0.006559923125547059
,sgfitness,0.0061070423509397825
,shipping,0.0060521477115934455
,worldwide,0.0058462928140446836
,ifsg,0.005805121834534931
,ironfitnesssingapore,0.005791398174698347
,strength,0.00566788523616909
,ironfitnesssg,0.00566788523616909
,gym,0.005558095957476417
,stylexstyle,0.00510521518286914
,wiwt,0.004844465645974041
,potd,0.004652334408261863
,community,0.00461116342875211
